SeaWorld,"[0.687, 0.654, 0, 0, 0, 0, 0.8333, 0, 0, 0, 0, 0, 0.5702, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0833, 0, 0, 0, 0, 0, 0, 0, 0, 0.9525, 0.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.76, 0, 0, 0, 0, 0, 0.9074, 0.869, 0.8333, 0.8733, 0, 0.906, 0, 0.681, 0, 0, 0, 0, 0.7667, 0, 0, 0, 0, 0, 0.7917, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6867, 0, 0, 0, 0, 0, 0, 0.24219999999999997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9357, 0, 0, 0, 0, 0, 0, 0.9, 0, 0, 0.8216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.775, 0, 0.7786, 0.8138, 0, 0, 0, 0, 0, 0, 0, 0, 0.9333, 0.7206, 0, 0, 0, 0, 0, 0, 0, 1.5688, 0, 0, 0, 0, 0.8571, 0, 0]"
ブルーフィールド,"[0, 0.4844, 0.2714, 0, 0, 0, 0, 0, 0.7733, 0, 0, 0, 0.8618, 0.8065, 0.7667, 0, 0, 0, 0.7478, 0, 0, 0, 0, 1, 0, 0, 0, 0.7313, 0, 0.9429, 0, 0.9407, 0.8469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8769, 0, 0.87, 0, 0, 0.931, 0, 0, 0.927, 1.6985000000000001, 0.9206, 0.9118, 0, 0.9216, 0, 0, 0, 0, 0, 0, 0.9143, 0.824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7875, 0, 0, 0, 0.7167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4837, 0, 0.7548, 0.8357, 2.5459, 0, 0, 0, 0, 0, 0.8, 1.5931000000000002, 0, 0, 0, 0, 0, 0, 0, 0, 0.7684, 0, 0, 0, 0, 0, 0, 0, 0.8062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4097, 0.88, 0.8333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
マリンクラブ Gigi,"[0, 0.5333, 0, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0.8173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7857, 0, 0, 0, 0, 0.6375, 0.9837, 2.652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9118, 0, 0, 0, 0, 0, 0.9385, 0.8128, 0.9108, 0.9067, 0, 0.9365, 0.9667, 0, 0, 0, 0, 0, 0.8923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9167, 0, 0, 0, 0, 0, 0, 0.86, 0, 0, 0.9138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7051, 0, 0, 0, 0.6717, 0, 0, 0, 0.7769, 0, 0.887, 0, 0, 0.7543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8537, 0, 0, 0.7929, 0, 1.959, 0, 0, 0, 0, 0, 0, 1.7315, 0, 0]"
マリンクラブ ベリー 那覇店,"[0, 0.37, 0, 0, 0, 0, 0, 0, 0, 0.7214, 0, 0, 1.3351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8533, 0, 0, 0, 0, 0, 0.9667, 0, 0.9579, 1.7283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8585, 0.4381, 0.7447, 0, 0, 0.8678, 0, 0, 0, 0, 0, 0, 0.7579, 0, 0, 0, 0, 0, 1.7643, 0, 0, 0, 0, 0, 0, 0, 0, 0.6344, 0, 0, 0, 0, 0, 0, 0, 0.0739, 0, 0, 0, 0, 0, 0, 0, 0.8262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9333, 0, 0, 0.8976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7, 0, 2.2481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7449, 0, 0, 0, 0, 0, 0, 0, 0.7883, 0, 0, 0.8685, 0, 0.7191, 0, 0.7857]"
マリンサービスむるぬーし,"[0, 0.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8591, 0.7719, 0, 0.8167, 0, 0, 0.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.972, 0.985, 1.7454999999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9412, 0, 0, 0, 0, 0, 0.9579, 0.8386, 1.8566, 0.9056, 0.92, 0.9444, 0.86, 0, 0, 0, 0, 0, 0.8722, 0, 0, 0, 0, 0, 0.9051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.82, 0, 0, 0.8681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8158, 0, 2.5798, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8846, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.97, 0.8676, 0, 0]"
古宇利島,"[0, 0.5984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6043, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9375, 0, 0, 0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8771, 0.4059, 0, 0, 0, 0.6214, 0, 0.613, 0, 0.5278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.226, 0, 0, 0, 0, 0.564, 0, 0, 0, 0.5818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8521999999999998, 0.6348, 0, 0, 0.8692, 0.9444, 0.9057, 0, 0.6957, 0, 2.417, 1.567, 0, 0.5381, 0, 0, 0.6217, 0.6828, 0.7306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6236, 1.4291, 0, 0, 0, 0, 0, 0, 0, 1.0105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5833, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
国際通り,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5333, 0, 0, 0, 0, 0, 0, 0.2968, 0, 0, 0, 0.95, 0, 0, 0, 0.6727, 0, 0, 0, 0.7571, 0.7385, 0.6227, 0, 0.5314, 0, 0, 0, 0, 0, 0, 0, 0.7267, 0.2533, 0, 0, 0, 0, 0, 0.7727, 0, 0, 0, 0, 0, 0, 0, 0, 2.7013000000000003, 1.4083, 0, 0.5964, 1.9086, 0.6, 0.475, 0.5692, 0, 0.6036, 0.5385, 1.0749, 0, 0, 0, 0, 0, 0, 0, 0, 1.2561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6071, 0.5882, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
宮古島 ADVENTURE PiPi,"[0, 0.4593, 0, 0, 0, 0, 0, 0, 0.8886, 0, 0, 0, 0.8752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9767, 0.8839, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9293, 0.8522, 0.9466, 0, 0, 0.9403, 0.8944, 0, 0, 0, 0, 0, 2.5569, 1.6962, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9789, 0, 0, 0, 0, 0, 0.7105, 0.82, 0, 0.9128, 0, 0, 1.8658000000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5468000000000002, 0, 0, 0, 0, 0, 0, 0, 1.6999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7529, 1.7128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8569, 0, 0.9467, 0, 0, 0, 0, 0, 0.9185, 0, 0.9099, 0.8667, 0]"
川平湾,"[0, 0.1937, 0, 0.7312, 0, 0, 0, 0, 0, 0, 0, 0, 0.6095, 0, 0, 0, 0, 0.8647, 0.7167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8753, 0, 0, 0, 0, 0, -0.0905, 0.7412, 0, 0, 0.7412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0.4846, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9997, 0, 0.4937, 0, 0, 0.4937, 0, 0.7546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4956, 0.804, 0, 0.8615, 0, 0, 1.9118, 0.6698, 0, 0, 2.7323, 0, 0, 0, 0.1889, 0, 0, 0.8097, 0, 0, 1.6571, 0, 0.7267, 0, 0, 0, 0.6244, 0, 0, 0, 1.1320999999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8083, 0, 1.5815000000000001, 0, 0]"
沖縄アイランドクルー,"[0, 0.1718, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6855, 0.548, 0, 0, 0, 0, 0, 0, 0, 0, 0.0437, 0, 0, 0, 0, 0, 0, 0.8786, 0, 0.945, 1.5150000000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8067, 0, 0, 0, 0, 0, 0.8743, 0.7529, 0.7118, 0.82, 0, 0.9177, 0, 0, 0, 0, 0, 0, 0.6, 0, 0, 0, 0, 0, 0.575, 0, 0, 0, 0, 0, 0, 0, 0.5462, 0, 0, 0, 0, 0, 0, 0, 0, -0.0136, 0, 0, 0, 0, 0, 0, 1.9439, 0, 0, 0, 0, 0.5016, 0, 0, 0, 0, 0, 0, 0.8467, 1.748, 0.7588, 0, 1.6871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7174, 0, 0, 2.1274, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7842, 0, 0, 3.8407, 0, 0, 0.9214, 0, 0, 0, 0, 0, 0, 0.827, 0, 0, 0, 0, 0, 0, 0, 0.8572, 0, 0, 0, 0, 1.8002, 0, 0]"
